PROGRES PEMUTAKHIRAN KELUARGA - KELUARGA,,,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.16 | Dicetak: 20 Jul 2026, 20.23",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Prelist Awal,Ditemukan,Persentase Ditemukan,Keluarga Baru,Meninggal,Persentase Meninggal,Tidak Eligible,Persentase Tidak Eligible,Tidak Dapat Ditemui Sampai Akhir Pendataan,Persentase Tidak Dapat Ditemui Sampai Akhir Pendataan,Tidak Ditemukan,Persentase Tidak Ditemukan,Keluarga Khusus,Total Hasil Pendataan ((4) + (5)),Persentase Total Hasil Pendataan ((4) + (5))
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17
6104,MEMPAWAH,"89,072","31,029","34,84","4,343","1,071","1,2",47,"0,05",0,0,"12,161","13,65",8,"35,372","39,71"
6104000,TIDAK DIKETAHUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104000000,TIDAK DIKETAHUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040000000000,TIDAK DIKETAHUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104000000000000,TIDAK DIKETAHUI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080,JONGKAT,"14,618","5,226","35,75",843,178,"1,22",4,"0,03",0,0,"1,862","12,74",2,"6,069","41,52"
6104080001,SUNGAI NIPAH,"1,568",743,"47,39",120,23,"1,47",1,"0,06",0,0,277,"17,67",0,863,"55,04"
61040800010001,RT 001 RW 01 DUSUN MAWAR,82,63,"76,83",12,4,"4,88",1,"1,22",0,0,14,"17,07",0,75,"91,46"
6104080001000100,RT 001 RW 01 DUSUN MAWAR,82,63,"76,83",12,4,"4,88",1,"1,22",0,0,14,"17,07",0,75,"91,46"
61040800010002,RT 002 RW 01 DUSUN MAWAR,112,78,"69,64",8,2,"1,79",0,0,0,0,32,"28,57",0,86,"76,79"
6104080001000200,RT 002 RW 01 DUSUN MAWAR,112,78,"69,64",8,2,"1,79",0,0,0,0,32,"28,57",0,86,"76,79"
61040800010003,RT 003 RW 01 DUSUN MAWAR,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080001000300,RT 003 RW 01 DUSUN MAWAR,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800010004,RT 004 RW 01 DUSUN MAWAR,78,57,"73,08",5,1,"1,28",0,0,0,0,10,"12,82",0,62,"79,49"
6104080001000400,RT 004 RW 01 DUSUN MAWAR,78,57,"73,08",5,1,"1,28",0,0,0,0,10,"12,82",0,62,"79,49"
61040800010005,RT 024 RW 01 DUSUN MAWAR,25,17,68,10,0,0,0,0,0,0,8,32,0,27,108
6104080001000500,RT 024 RW 01 DUSUN MAWAR,25,17,68,10,0,0,0,0,0,0,8,32,0,27,108
61040800010006,RT 021 RW 01 DUSUN MAWAR,32,0,0,0,0,0,0,0,0,0,3,"9,38",0,0,0
