PROGRES PENDATAAN - USAHA KELUARGA,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,
,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),JUMLAH USAHA KELUARGA MENURUT STATUS KEBERADAAN USAHA,,,,,Jumlah Usaha dalam Keluarga
,,Ditemukan,Tutup,Ganda,Tidak Ditemukan,Baru,
-1,-2,-3,-4,-5,-6,-7,-8
6104,MEMPAWAH,"10,386","7,442",168,"4,505","6,336","16,722"
6104000,TIDAK DIKETAHUI,0,0,0,0,0,0
6104000000,TIDAK DIKETAHUI,0,0,0,0,0,0
61040000000000,TIDAK DIKETAHUI,0,0,0,0,0,0
"6,104E+15",TIDAK DIKETAHUI,0,0,0,0,0,0
6104080,JONGKAT,"1,771","1,27",27,346,720,"2,491"
6104080001,SUNGAI NIPAH,200,213,1,14,82,282
61040800010001,RT 001 RW 01 DUSUN MAWAR,29,14,0,2,16,45
"6,10408E+15",RT 001 RW 01 DUSUN MAWAR,29,14,0,2,16,45
61040800010002,RT 002 RW 01 DUSUN MAWAR,34,12,0,1,13,47
"6,10408E+15",RT 002 RW 01 DUSUN MAWAR,34,12,0,1,13,47
61040800010003,RT 003 RW 01 DUSUN MAWAR,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 01 DUSUN MAWAR,0,0,0,0,0,0
61040800010004,RT 004 RW 01 DUSUN MAWAR,18,5,0,1,0,18
"6,10408E+15",RT 004 RW 01 DUSUN MAWAR,18,5,0,1,0,18
61040800010005,RT 024 RW 01 DUSUN MAWAR,2,6,0,1,9,11
"6,10408E+15",RT 024 RW 01 DUSUN MAWAR,2,6,0,1,9,11
61040800010006,RT 021 RW 01 DUSUN MAWAR,0,0,0,0,0,0
"6,10408E+15",RT 021 RW 01 DUSUN MAWAR,0,0,0,0,0,0
61040800010007,RT 005 RW 02 DUSUN MAWAR,4,10,0,2,1,5
"6,10408E+15",RT 005 RW 02 DUSUN MAWAR,4,10,0,2,1,5
61040800010008,RT 006 RW 02 DUSUN MAWAR,4,4,0,0,0,4
"6,10408E+15",RT 006 RW 02 DUSUN MAWAR,4,4,0,0,0,4
61040800010009,RT 007 RW 02 DUSUN MAWAR,0,0,0,0,0,0
"6,10408E+15",RT 007 RW 02 DUSUN MAWAR,0,0,0,0,0,0
61040800010010,RT 008 RW 02 DUSUN MAWAR,0,0,0,0,0,0
"6,10408E+15",RT 008 RW 02 DUSUN MAWAR,0,0,0,0,0,0
61040800010011,RT 009 RW 02 DUSUN MAWAR,0,0,0,0,0,0
"6,10408E+15",RT 009 RW 02 DUSUN MAWAR,0,0,0,0,0,0
61040800010012,RT 010 RW 03 DUSUN MELATI,3,7,0,0,6,9
"6,10408E+15",RT 010 RW 03 DUSUN MELATI,3,7,0,0,6,9
61040800010013,RT 011 RW 03 DUSUN MELATI,7,10,0,0,1,8
"6,10408E+15",RT 011 RW 03 DUSUN MELATI,7,10,0,0,1,8
61040800010014,RT 012 RW 03 DUSUN MELATI,9,12,0,1,0,9
"6,10408E+15",RT 012 RW 03 DUSUN MELATI,9,12,0,1,0,9
61040800010015,RT 013 RW 03 DUSUN MELATI,3,7,0,1,5,8
"6,10408E+15",RT 013 RW 03 DUSUN MELATI,3,7,0,1,5,8
61040800010016,RT 014 RW 03 DUSUN MELATI,10,12,1,0,2,12
"6,10408E+15",RT 014 RW 03 DUSUN MELATI,10,12,1,0,2,12
61040800010017,RT 022 RW 03 DUSUN MELATI,7,8,0,0,6,13
"6,10408E+15",RT 022 RW 03 DUSUN MELATI,7,8,0,0,6,13
61040800010018,RT 015 RW 04 DUSUN MELATI,12,19,0,0,5,17
"6,10408E+15",RT 015 RW 04 DUSUN MELATI,12,19,0,0,5,17
61040800010019,RT 016 RW 04 DUSUN MELATI,9,22,0,3,3,12
"6,10408E+15",RT 016 RW 04 DUSUN MELATI,9,22,0,3,3,12
61040800010020,RT 017 RW 04 DUSUN MELATI,2,9,0,0,0,2
"6,10408E+15",RT 017 RW 04 DUSUN MELATI,2,9,0,0,0,2
61040800010021,RT 018 RW 04 DUSUN MELATI,14,21,0,2,5,19
"6,10408E+15",RT 018 RW 04 DUSUN MELATI,14,21,0,2,5,19
61040800010022,RT 019 RW 04 DUSUN MELATI,22,28,0,0,2,24
"6,10408E+15",RT 019 RW 04 DUSUN MELATI,22,28,0,0,2,24
61040800010023,RT 23 RW 03 DUSUN MELATI,1,2,0,0,4,5
"6,10408E+15",RT 23 RW 03 DUSUN MELATI,1,2,0,0,4,5
61040800010024,RT 020 RW 01 DUSUN MAWAR,10,5,0,0,4,14
"6,10408E+15",RT 020 RW 01 DUSUN MAWAR,10,5,0,0,4,14
6104080002,JUNGKAT,628,345,7,110,208,836
61040800020001,RT 001 RW 016 DUSUN DAENG MANAMBON,17,0,1,5,3,20
"6,10408E+15",RT 001 RW 016 DUSUN DAENG MANAMBON,17,0,1,5,3,20
61040800020002,RT 002 RW 016 DUSUN DAENG MANAMBON,23,1,1,8,2,25
"6,10408E+15",RT 002 RW 016 DUSUN DAENG MANAMBON,23,1,1,8,2,25
61040800020003,RT 003 RW 016 DUSUN DAENG MANAMBON,32,6,0,8,4,36
"6,10408E+15",RT 003 RW 016 DUSUN DAENG MANAMBON,32,6,0,8,4,36
61040800020004,RT 001 RW 019 DUSUN DAENG MANAMBON,21,2,0,0,10,31
"6,10408E+15",RT 001 RW 019 DUSUN DAENG MANAMBON,21,2,0,0,10,31
61040800020005,RT 003 RW 019 DUSUN DAENG MANAMBON,8,4,0,0,3,11
"6,10408E+15",RT 003 RW 019 DUSUN DAENG MANAMBON,8,4,0,0,3,11
61040800020006,RT 001 RW 002 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 002 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020007,RT 002 RW 002 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 002 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020008,RT 003 RW 002 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 002 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020009,RT 001 RW 014 DUSUN URAI BAWADI,34,12,0,1,11,45
"6,10408E+15",RT 001 RW 014 DUSUN URAI BAWADI,34,12,0,1,11,45
61040800020010,RT 002 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020011,RT 003 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 014 DUSUN URAI BAWADI,0,0,0,0,0,0
61040800020012,RT 001 RW 006 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 006 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0
61040800020013,RT 002 RW 006 DUSUN PANGERAN ADIPATI,3,1,0,0,1,4
