PROGRES PENDATAAN - USAHA/PERUSAHAAN,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Jumlah Prelist Usaha,JUMLAH USAHA BKU MENURUT STATUS KEBERADAAN USAHA,,,,,,,,,,Jumlah Usaha BKU,Persentase Usaha BKU
,,,Ditemukan,Persentase Ditemukan,Tutup,Persentase Tutup,Ganda,Persentase Ganda,Tidak Ditemukan,Persentase Tidak Ditemukan,Baru,Persentase Baru,,
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
6104,MEMPAWAH,"16,155",664,"4,11",64,"0,4",34,"0,21","9,489","58,74",986,"6,1","1,65","10,21"
6104000,TIDAK DIKETAHUI,10,0,0,0,0,0,0,0,0,0,0,0,0
6104000000,TIDAK DIKETAHUI,10,0,0,0,0,0,0,0,0,0,0,0,0
61040000000000,TIDAK DIKETAHUI,10,0,0,0,0,0,0,0,0,0,0,0,0
"6,104E+15",TIDAK DIKETAHUI,10,0,0,0,0,0,0,0,0,0,0,0,0
6104080,JONGKAT,"1,46",46,"3,15",21,"1,44",0,0,548,"37,53",112,"7,67",158,"10,82"
6104080001,SUNGAI NIPAH,435,7,"1,61",6,"1,38",0,0,250,"57,47",13,"2,99",20,"4,6"
61040800010001,RT 001 RW 01 DUSUN MAWAR,2,1,50,0,0,0,0,1,50,0,0,1,50
"6,10408E+15",RT 001 RW 01 DUSUN MAWAR,2,1,50,0,0,0,0,1,50,0,0,1,50
61040800010002,RT 002 RW 01 DUSUN MAWAR,4,2,50,0,0,0,0,2,50,0,0,2,50
"6,10408E+15",RT 002 RW 01 DUSUN MAWAR,4,2,50,0,0,0,0,2,50,0,0,2,50
61040800010003,RT 003 RW 01 DUSUN MAWAR,1,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 01 DUSUN MAWAR,1,0,0,0,0,0,0,0,0,0,0,0,0
61040800010004,RT 004 RW 01 DUSUN MAWAR,2,0,0,0,0,0,0,1,50,0,0,0,0
"6,10408E+15",RT 004 RW 01 DUSUN MAWAR,2,0,0,0,0,0,0,1,50,0,0,0,0
61040800010005,RT 024 RW 01 DUSUN MAWAR,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 024 RW 01 DUSUN MAWAR,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800010006,RT 021 RW 01 DUSUN MAWAR,4,0,0,0,0,0,0,1,25,0,0,0,0
"6,10408E+15",RT 021 RW 01 DUSUN MAWAR,4,0,0,0,0,0,0,1,25,0,0,0,0
61040800010007,RT 005 RW 02 DUSUN MAWAR,11,1,"9,09",0,0,0,0,10,"90,91",0,0,1,"9,09"
"6,10408E+15",RT 005 RW 02 DUSUN MAWAR,11,1,"9,09",0,0,0,0,10,"90,91",0,0,1,"9,09"
61040800010008,RT 006 RW 02 DUSUN MAWAR,3,0,0,0,0,0,0,0,0,3,100,3,100
"6,10408E+15",RT 006 RW 02 DUSUN MAWAR,3,0,0,0,0,0,0,0,0,3,100,3,100
61040800010009,RT 007 RW 02 DUSUN MAWAR,2,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 007 RW 02 DUSUN MAWAR,2,0,0,0,0,0,0,0,0,0,0,0,0
61040800010010,RT 008 RW 02 DUSUN MAWAR,357,0,0,0,0,0,0,217,"60,78",0,0,0,0
"6,10408E+15",RT 008 RW 02 DUSUN MAWAR,357,0,0,0,0,0,0,217,"60,78",0,0,0,0
