Tabel,Kolom,DataKey,Urutan,Blok,Nomor Rincian,Label,Tipe,Keterangan
tgr_fd68e454.se2026_nested,pilih_umkm_sls_label,pilih_umkm_sls,103,SE2026 - L BLOK II,,Pilih UMKM dalam satu SLS yang sama,Select,
tgr_fd68e454.se2026_nested,pilih_umkm_sls_value,pilih_umkm_sls,103,SE2026 - L BLOK II,,Pilih UMKM dalam satu SLS yang sama,Select,
tgr_fd68e454.se2026_nested,prov_l,prov_l,106,SE2026 - L BLOK II,1,Provinsi,Variable,
tgr_fd68e454.se2026_nested,kab_l,kab_l,107,SE2026 - L BLOK II,2,Kabupaten/Kota,Variable,
tgr_fd68e454.se2026_nested,kec_l,kec_l,110,SE2026 - L BLOK II,3,Kecamatan,Variable,
tgr_fd68e454.se2026_nested,desa_l,desa_l,112,SE2026 - L BLOK II,4,Kelurahan/Desa/Nagari,Variable,
tgr_fd68e454.se2026_nested,kodesls_l,kodesls_l,114,SE2026 - L BLOK II,,Kode SLS/Sub-SLS,Variable,
tgr_fd68e454.se2026_nested,sls_l,sls_l,116,SE2026 - L BLOK II,,Nama SLS/Sub-SLS,Variable,
tgr_fd68e454.se2026_nested,no_bang_l,no_bang_l,117,SE2026 - L BLOK II,6,Nomor Bangunan,Variable,
tgr_fd68e454.se2026_nested,no_usaha,no_usaha,119,SE2026 - L BLOK II,7,Nomor Urut Usaha/Perusahaan,Variable,
tgr_fd68e454.se2026_nested,nama_usaha,nama_usaha,120,SE2026 - L BLOK II,8,a. Nama usaha/perusahaan,Variable,
tgr_fd68e454.se2026_nested,keberadaan_usaha_label,keberadaan_usaha,121,SE2026 - L BLOK II,,Keberadaan Usaha,Radio Group,
tgr_fd68e454.se2026_nested,keberadaan_usaha_value,keberadaan_usaha,121,SE2026 - L BLOK II,,Keberadaan Usaha,Radio Group,
tgr_fd68e454.se2026_nested,nama_usaha_edit,nama_usaha_edit,122,SE2026 - L BLOK II,,$label_edit $hint_edit,Text Input,
tgr_fd68e454.se2026_nested,nama_komersial,nama_komersial,123,SE2026 - L BLOK II,8,"b. Nama komersial usaha/perusahaan Jika tidak memiliki nama komersial, maka tuliskan nama usaha/perusahaan.",Text Input,
tgr_fd68e454.se2026_nested,alamat_usaha_view,alamat_usaha_view,124,SE2026 - L BLOK II,8c,Alamat usaha/perusahaan,Text Area,
tgr_fd68e454.se2026_nested,rt,rt,125,SE2026 - L BLOK II,,• RT,Text Input,
tgr_fd68e454.se2026_nested,rw,rw,126,SE2026 - L BLOK II,,• RW,Text Input,
tgr_fd68e454.se2026_nested,kode_pos,kode_pos,127,SE2026 - L BLOK II,,• Kode Pos,Variable,
tgr_fd68e454.se2026_nested,kode_area,kode_area,128,SE2026 - L BLOK II,,- Kode Area,Text Input,
tgr_fd68e454.se2026_nested,no_telp,no_telp,129,SE2026 - L BLOK II,,- Nomor Telepon,Text Input,
tgr_fd68e454.se2026_nested,eks,eks,130,SE2026 - L BLOK II,,- Ekstensi,Text Input,
tgr_fd68e454.se2026_nested,email,email,131,SE2026 - L BLOK II,,• Email,Text Input,
tgr_fd68e454.se2026_nested,hp,hp,132,SE2026 - L BLOK II,,• Nomor HP/whatsapp:,Text Input,
tgr_fd68e454.se2026_nested,website,website,133,SE2026 - L BLOK II,,• Homepage/website Alamat website diawali dengan www. Contoh : www.bps.go.id,Text Input,
tgr_fd68e454.se2026_nested,jenis_kawasan_label,jenis_kawasan,134,SE2026 - L BLOK II,8,d. Jenis kawasan beroperasi,Radio Group,
tgr_fd68e454.se2026_nested,jenis_kawasan_value,jenis_kawasan,134,SE2026 - L BLOK II,8,d. Jenis kawasan beroperasi,Radio Group,
tgr_fd68e454.se2026_nested,nama_kek_ki_label,nama_kek_ki,135,SE2026 - L BLOK II,8,e. Nama KEK/KI,Select,
tgr_fd68e454.se2026_nested,nama_kek_ki_value,nama_kek_ki,135,SE2026 - L BLOK II,8,e. Nama KEK/KI,Select,
tgr_fd68e454.se2026_nested,nama_kawasan,nama_kawasan,136,SE2026 - L BLOK II,8,"e. Nama kawasan Contoh: KEK Mandalika, Kawasan Industri Jababeka, Stasiun Gambir, Bandara Soekarno-Hatta, Pelabuhan Tanjung Priok, Terminal Pulo Gebang, Rest Area KM 57 Tol Jakarta–Cikampek, Sentra Batik Laweyan, Kompleks Pertokoan ITC Mangga Dua",Text Input,
tgr_fd68e454.se2026_nested,jenis_usaha_label,jenis_usaha,137,SE2026 - L BLOK II,9,a. Apa jenis usaha/perusahaan ini?,Radio Group,
tgr_fd68e454.se2026_nested,jenis_usaha_value,jenis_usaha,137,SE2026 - L BLOK II,9,a. Apa jenis usaha/perusahaan ini?,Radio Group,
tgr_fd68e454.se2026_nested,alamat_usaha_utama,alamat_usaha_utama,138,SE2026 - L BLOK II,9,b1. Alamat/lokasi usaha utama,Text Area,
tgr_fd68e454.se2026_nested,prov_usaha_utama_label,prov_usaha_utama,139,SE2026 - L BLOK II,9,b2. Provinsi,Select,
tgr_fd68e454.se2026_nested,prov_usaha_utama_value,prov_usaha_utama,139,SE2026 - L BLOK II,9,b2. Provinsi,Select,
tgr_fd68e454.se2026_nested,kab_usaha_utama_label,kab_usaha_utama,140,SE2026 - L BLOK II,9,b3. Kabupaten/Kota,Select,
tgr_fd68e454.se2026_nested,kab_usaha_utama_value,kab_usaha_utama,140,SE2026 - L BLOK II,9,b3. Kabupaten/Kota,Select,
tgr_fd68e454.se2026_nested,punya_nib_label,punya_nib,141,SE2026 - L BLOK II,10,a. Apakah memiliki Nomor Induk Berusaha (NIB)?,Radio Group,
tgr_fd68e454.se2026_nested,punya_nib_value,punya_nib,141,SE2026 - L BLOK II,10,a. Apakah memiliki Nomor Induk Berusaha (NIB)?,Radio Group,
tgr_fd68e454.se2026_nested,nib,nib,142,SE2026 - L BLOK II,10,b. Tuliskan NIB:,Text Input,
tgr_fd68e454.se2026_nested,tidak_nib_label,tidak_nib,144,SE2026 - L BLOK II,10,c. Apa alasan utama tidak memiliki NIB?,Radio Group,
tgr_fd68e454.se2026_nested,tidak_nib_value,tidak_nib,144,SE2026 - L BLOK II,10,c. Apa alasan utama tidak memiliki NIB?,Radio Group,
tgr_fd68e454.se2026_nested,nib_lainnya,nib_lainnya,145,SE2026 - L BLOK II,10,"c. Lainnya, tuliskan....",Text Input,
tgr_fd68e454.se2026_nested,badan_usaha_label,badan_usaha,146,SE2026 - L BLOK II,11,a. Apa status badan usaha dari usaha/perusahaan ini?,Radio Group,
tgr_fd68e454.se2026_nested,badan_usaha_value,badan_usaha,146,SE2026 - L BLOK II,11,a. Apa status badan usaha dari usaha/perusahaan ini?,Radio Group,
tgr_fd68e454.se2026_nested,koperasi_kdkmp_label,koperasi_kdkmp,147,SE2026 - L BLOK II,11,b. Apakah koperasi ini merupakan Koperasi Desa/Kelurahan Merah Putih (KDKMP)?,Radio Group,
tgr_fd68e454.se2026_nested,koperasi_kdkmp_value,koperasi_kdkmp,147,SE2026 - L BLOK II,11,b. Apakah koperasi ini merupakan Koperasi Desa/Kelurahan Merah Putih (KDKMP)?,Radio Group,
tgr_fd68e454.se2026_nested,jenis_koperasi_label,jenis_koperasi,148,SE2026 - L BLOK II,11,c. Apa jenis koperasi ini berdasarkan layanannya?,Radio Group,
tgr_fd68e454.se2026_nested,jenis_koperasi_value,jenis_koperasi,148,SE2026 - L BLOK II,11,c. Apa jenis koperasi ini berdasarkan layanannya?,Radio Group,
tgr_fd68e454.se2026_nested,lap_keuangan_label,lap_keuangan,149,SE2026 - L BLOK II,11,d. Apakah mempunyai laporan/catatan keuangan?,Radio Group,
tgr_fd68e454.se2026_nested,lap_keuangan_value,lap_keuangan,149,SE2026 - L BLOK II,11,d. Apakah mempunyai laporan/catatan keuangan?,Radio Group,
tgr_fd68e454.se2026_nested,pengusaha_var_label,pengusaha_var,150,SE2026 - L BLOK II,12,a. Nama Pengusaha / Penanggung Jawab,Select,
tgr_fd68e454.se2026_nested,pengusaha_var_value,pengusaha_var,150,SE2026 - L BLOK II,12,a. Nama Pengusaha / Penanggung Jawab,Select,
tgr_fd68e454.se2026_nested,pengusaha,pengusaha,151,SE2026 - L BLOK II,12,a. Nama Pengusaha / Penanggung Jawab,Text Input,
tgr_fd68e454.se2026_nested,jk_var,jk_var,152,SE2026 - L BLOK II,12,b. Jenis Kelamin,Variable,
tgr_fd68e454.se2026_nested,jk_label,jk,153,SE2026 - L BLOK II,12,b. Jenis Kelamin,Radio Group,
tgr_fd68e454.se2026_nested,jk_value,jk,153,SE2026 - L BLOK II,12,b. Jenis Kelamin,Radio Group,
tgr_fd68e454.se2026_nested,umur_pj_var,umur_pj_var,154,SE2026 - L BLOK II,12,c. Umur,Variable,
tgr_fd68e454.se2026_nested,umur,umur,155,SE2026 - L BLOK II,12,c. Umur,Number,
tgr_fd68e454.se2026_nested,nik_pengusaha_var,nik_pengusaha_var,156,SE2026 - L BLOK II,12,d. Nomor Induk Kependudukan (NIK ),Variable,
tgr_fd68e454.se2026_nested,nik_pengusaha,nik_pengusaha,157,SE2026 - L BLOK II,12,d. Nomor Induk Kependudukan (NIK),Text Input,
tgr_fd68e454.se2026_nested,keg_utama,keg_utama,159,SE2026 - L BLOK II,13,a. Apa kegiatan utama usaha/perusahaan ini? Tuliskan selengkapnya,Text Input,
tgr_fd68e454.se2026_nested,produk_sendiri_label,produk_sendiri,160,SE2026 - L BLOK II,13,b1. Apakah memproduksi barang di lokasi ini?,Radio Group,
tgr_fd68e454.se2026_nested,produk_sendiri_value,produk_sendiri,160,SE2026 - L BLOK II,13,b1. Apakah memproduksi barang di lokasi ini?,Radio Group,
tgr_fd68e454.se2026_nested,layanan_mamin_label,layanan_mamin,161,SE2026 - L BLOK II,13,"b2. Apakah menyediakan layanan makan minum? Ciri: terdapat kegiatan peracikkan, pemanasan ulang, atau pembuatan produk berdasarkan pesanan/permintaan pelanggan",Radio Group,
tgr_fd68e454.se2026_nested,layanan_mamin_value,layanan_mamin,161,SE2026 - L BLOK II,13,"b2. Apakah menyediakan layanan makan minum? Ciri: terdapat kegiatan peracikkan, pemanasan ulang, atau pembuatan produk berdasarkan pesanan/permintaan pelanggan",Radio Group,
tgr_fd68e454.se2026_nested,keg_penjualan_label,keg_penjualan,162,SE2026 - L BLOK II,13,b3. Apakah melakukan penjualan barang?,Radio Group,
tgr_fd68e454.se2026_nested,keg_penjualan_value,keg_penjualan,162,SE2026 - L BLOK II,13,b3. Apakah melakukan penjualan barang?,Radio Group,
tgr_fd68e454.se2026_nested,keg_jasa_label,keg_jasa,163,SE2026 - L BLOK II,13,b4. Pilih salah satu aktivitas yang dilakukan:,Radio Group,
tgr_fd68e454.se2026_nested,keg_jasa_value,keg_jasa,163,SE2026 - L BLOK II,13,b4. Pilih salah satu aktivitas yang dilakukan:,Radio Group,
tgr_fd68e454.se2026_nested,lokasi_usaha_label,lokasi_usaha,164,SE2026 - L BLOK II,13,c. Di mana usaha tersebut biasa dilakukan?,Radio Group,
tgr_fd68e454.se2026_nested,lokasi_usaha_value,lokasi_usaha,164,SE2026 - L BLOK II,13,c. Di mana usaha tersebut biasa dilakukan?,Radio Group,
